Period,Type 1 Departments - Major A&E,Type 3 Departments - Other A&E/Minor Injury Unit
Aug-10," 1,138,652 "," 559,358 "
Sep-10," 1,150,728 "," 550,359 "
Oct-10," 1,163,143 "," 583,244 "
Nov-10," 1,111,295 "," 486,005 "
Dec-10," 1,159,204 "," 533,001 "
Jan-11," 1,133,881 "," 542,331 "
Feb-11," 1,053,707 "," 494,408 "
Mar-11," 1,225,222 "," 580,319 "
Apr-11," 1,197,213 "," 593,120 "
May-11," 1,221,687 "," 594,941 "
Jun-11," 1,168,468 "," 562,210 "
Jul-11," 1,211,066 "," 597,690 "
Aug-11," 1,135,801 "," 570,417 "
Sep-11," 1,162,143 "," 566,738 "
Oct-11," 1,200,708 "," 593,757 "
Nov-11," 1,134,959 "," 554,709 "
Dec-11," 1,141,606 "," 542,479 "
Jan-12," 1,137,916 "," 547,995 "
Feb-12," 1,120,423 "," 532,653 "
Mar-12," 1,263,082 "," 611,496 "
Apr-12," 1,149,634 "," 568,200 "
May-12," 1,251,414 "," 621,739 "
Jun-12," 1,222,084 "," 611,800 "
Jul-12," 1,248,953 "," 620,178 "
Aug-12," 1,197,384 "," 594,854 "
Sep-12," 1,178,361 "," 558,604 "
Oct-12," 1,214,433 "," 564,448 "
Nov-12," 1,167,908 "," 535,892 "
Dec-12," 1,202,080 "," 572,792 "
Jan-13," 1,149,837 "," 533,763 "
Feb-13," 1,085,333 "," 514,445 "
Mar-13," 1,226,196 "," 584,669 "
Apr-13," 1,199,089 "," 578,025 "
May-13," 1,229,747 "," 607,194 "
Jun-13," 1,191,352 "," 585,094 "
Jul-13," 1,281,700 "," 639,053 "
Aug-13," 1,189,671 "," 597,681 "
Sep-13," 1,156,569 "," 559,868 "
Oct-13," 1,199,259 "," 577,465 "
Nov-13," 1,139,112 "," 543,294 "
Dec-13," 1,172,011 "," 562,209 "
Jan-14," 1,142,284 "," 546,196 "
Feb-14," 1,084,744 "," 529,366 "
Mar-14," 1,269,436 "," 632,107 "
Apr-14," 1,213,066 "," 612,576 "
May-14," 1,287,333 "," 636,250 "
Jun-14," 1,265,211 "," 622,060 "
Jul-14," 1,302,588 "," 635,250 "
Aug-14," 1,188,147 "," 576,112 "
Sep-14," 1,221,782 "," 579,309 "
Oct-14," 1,250,114 "," 587,832 "
Nov-14," 1,205,519 "," 572,612 "
Dec-14," 1,241,895 "," 611,673 "
Jan-15," 1,124,040 "," 557,126 "
Feb-15," 1,072,452 "," 534,238 "
Mar-15," 1,251,325 "," 635,259 "
Apr-15," 1,206,631 "," 614,171 "
May-15," 1,254,445 "," 628,214 "
Jun-15," 1,249,213 "," 608,598 "
Jul-15," 1,271,523 "," 627,955 "
Aug-15," 1,215,826 "," 599,855 "
Sep-15," 1,221,594 "," 587,517 "
Oct-15," 1,261,395 "," 611,438 "
Nov-15," 1,236,294 "," 589,635 "
Dec-15," 1,232,965 "," 588,539 "
Jan-16," 1,250,005 "," 609,707 "
Feb-16," 1,218,372 "," 604,017 "
Mar-16," 1,350,373 "," 687,274 "
Apr-16," 1,214,057 "," 603,365 "
May-16," 1,353,206 "," 664,954 "
Jun-16," 1,282,499 "," 624,123 "
Jul-16," 1,353,477 "," 672,596 "
Aug-16," 1,254,439 "," 626,058 "
Sep-16," 1,277,578 "," 622,365 "
Oct-16," 1,317,571 "," 633,225 "
Nov-16," 1,258,205 "," 599,687 "
Dec-16," 1,277,133 "," 621,865 "
Jan-17," 1,237,177 "," 610,056 "
Feb-17," 1,127,909 "," 561,977 "
Mar-17," 1,309,507 "," 652,972 "
Apr-17," 1,253,743 "," 648,469 "
May-17," 1,347,297 "," 668,455 "
Jun-17," 1,296,877 "," 646,567 "
Jul-17," 1,348,648 "," 674,927 "
Aug-17," 1,256,655 "," 620,096 "
Sep-17," 1,263,957 "," 614,754 "
Oct-17," 1,325,211 "," 668,728 "
Nov-17," 1,281,913 "," 646,835 "
Dec-17," 1,289,587 "," 672,209 "
Jan-18," 1,257,026 "," 693,073 "
Feb-18," 1,151,757 "," 626,353 "
Mar-18," 1,299,796 "," 703,334 "
Apr-18," 1,246,348 "," 690,765 "
May-18," 1,354,711 "," 760,528 "
Jun-18," 1,306,739 "," 737,568 "
Jul-18," 1,365,859 "," 764,191 "
Aug-18," 1,252,767 "," 695,970 "
Sep-18," 1,269,088 "," 688,985 "
Oct-18," 1,320,032 "," 708,178 "
Nov-18," 1,305,353 "," 684,029 "
Dec-18," 1,307,359 "," 697,087 "
Jan-19," 1,344,354 "," 721,443 "
Feb-19," 1,234,328 "," 676,436 "
Mar-19," 1,373,061 "," 744,000 "
Apr-19," 1,330,825 "," 732,059 "
May-19," 1,369,332 "," 752,032 "
Jun-19," 1,334,137 "," 724,617 "
Jul-19," 1,415,918 "," 796,714 "
Aug-19," 1,324,070 "," 752,579 "
Sep-19," 1,342,510 "," 732,618 "
Oct-19," 1,376,347 "," 744,147 "
Nov-19," 1,366,383 "," 729,943 "
Dec-19," 1,373,654 "," 763,425 "
Jan-20," 1,327,234 "," 737,878 "
Feb-20," 1,237,255 "," 687,312 "
Mar-20," 1,013,021 "," 486,033 "
Apr-20," 689,720 "," 207,129 "
May-20," 924,218 "," 311,140 "
Jun-20," 1,016,132 "," 363,576 "
Jul-20," 1,120,421 "," 435,106 "
Aug-20," 1,179,019 "," 507,753 "
Sep-20," 1,163,948 "," 496,637 "
Oct-20," 1,111,958 "," 454,377 "
Nov-20," 1,036,350 "," 416,954 "
Dec-20," 1,039,474 "," 405,362 "
Jan-21," 941,194 "," 343,868 "
Feb-21," 903,771 "," 346,348 "
Mar-21," 1,161,079 "," 494,547 "
Apr-21," 1,259,266 "," 571,603 "
May-21," 1,396,116 "," 640,679 "
Jun-21," 1,436,111 "," 681,859 "
Jul-21," 1,430,733 "," 690,082 "
Aug-21," 1,341,757 "," 654,346 "
Sep-21," 1,392,405 "," 694,296 "
Oct-21," 1,419,010 "," 706,091 "
Nov-21," 1,336,830 "," 662,100 "
Dec-21," 1,250,568 "," 589,161 "
Jan-22," 1,247,417 "," 591,228 "
Feb-22," 1,205,820 "," 581,573 "
Mar-22," 1,421,526 "," 711,362 "
Apr-22," 1,312,380 "," 678,518 "
May-22," 1,437,421 "," 753,758 "
Jun-22," 1,400,664 "," 750,117 "
Jul-22," 1,397,083 "," 744,940 "
Aug-22," 1,299,083 "," 655,794 "
Sep-22," 1,301,611 "," 666,690 "
Oct-22," 1,399,185 "," 747,403 "
Nov-22," 1,395,183 "," 740,977 "
Dec-22," 1,437,681 "," 819,806 "
Jan-23," 1,243,898 "," 682,364 "
Feb-23," 1,206,386 "," 666,176 "
Mar-23," 1,372,403 "," 746,745 "
Apr-23," 1,271,145 "," 720,263 "
May-23," 1,400,815 "," 799,278 "
Jun-23," 1,389,009 "," 790,521 "
Jul-23," 1,379,854 "," 774,420 "
Aug-23," 1,323,647 "," 742,291 "
Sep-23," 1,369,045 "," 758,370 "
Oct-23," 1,413,597 "," 765,954 "
Nov-23," 1,386,008 "," 739,211 "
Dec-23," 1,384,220 "," 761,416 "
Jan-24," 1,397,975 "," 790,015 "
Feb-24," 1,347,642 "," 766,312 "
Mar-24," 1,462,878 "," 858,421 "
Apr-24," 1,372,028 "," 817,145 "
May-24," 1,472,721 "," 892,325 "
Jun-24," 1,405,658 "," 839,025 "
Jul-24," 1,425,569 "," 847,764 "
Aug-24," 1,320,157 "," 792,247 "
Sep-24," 1,364,482 "," 801,201 "
Oct-24," 1,453,242 "," 857,577 "
Nov-24," 1,428,050 "," 839,685 "
Dec-24," 1,440,311 "," 861,582 "
Jan-25," 1,359,026 "," 809,618 "
Feb-25," 1,271,336 "," 771,053 "
Mar-25," 1,450,686 "," 887,141 "
