Period,Total Attendances > 4 hours,Total Attendances < 4 hours,Percentage in 4 hours or less (all),Type 1 Attendances,Total A&E Attendances
Nov-10,"46,436","1,604,591",97.2%,"1,111,295","1,651,027"
Dec-10,"89,917","1,647,824",94.8%,"1,159,204","1,737,741"
Jan-11,"72,889","1,654,907",95.8%,"1,133,881","1,727,797"
Feb-11,"46,943","1,552,421",97.1%,"1,053,707","1,599,364"
Mar-11,"59,173","1,804,268",96.8%,"1,225,222","1,863,441"
Apr-11,"57,380","1,786,995",96.9%,"1,197,213","1,844,375"
May-11,"54,805","1,818,890",97.1%,"1,221,687","1,873,695"
Jun-11,"51,702","1,733,716",97.1%,"1,168,468","1,785,417"
Jul-11,"44,885","1,820,074",97.6%,"1,211,066","1,864,959"
Aug-11,"45,077","1,713,032",97.4%,"1,135,801","1,758,108"
Sep-11,"55,392","1,725,818",96.9%,"1,162,143","1,781,211"
Oct-11,"62,453","1,786,460",96.6%,"1,200,708","1,848,912"
Nov-11,"59,132","1,682,309",96.6%,"1,134,959","1,741,441"
Dec-11,"72,832","1,659,214",95.8%,"1,141,606","1,732,046"
Jan-12,"73,747","1,663,771",95.8%,"1,137,916","1,737,518"
Feb-12,"85,427","1,618,805",95.0%,"1,120,423","1,704,232"
Mar-12,"66,947","1,866,206",96.5%,"1,263,082","1,933,153"
Apr-12,"64,561","1,704,962",96.4%,"1,149,634","1,769,523"
May-12,"61,521","1,868,050",96.8%,"1,251,414","1,929,570"
Jun-12,"61,439","1,826,402",96.7%,"1,222,084","1,887,841"
Jul-12,"56,434","1,868,090",97.1%,"1,248,953","1,924,523"
Aug-12,"54,607","1,790,535",97.0%,"1,197,384","1,845,142"
Sep-12,"59,110","1,729,381",96.7%,"1,178,361","1,788,491"
Oct-12,"68,868","1,763,436",96.2%,"1,214,433","1,832,304"
Nov-12,"70,014","1,685,591",96.0%,"1,167,908","1,755,605"
Dec-12,"97,187","1,725,239",94.7%,"1,202,080","1,822,426"
Jan-13,"94,561","1,638,557",94.5%,"1,149,837","1,733,118"
Feb-13,"94,112","1,554,636",94.3%,"1,085,333","1,648,748"
Mar-13,"120,995","1,744,089",93.5%,"1,226,196","1,865,084"
Apr-13,"120,122","1,711,299",93.4%,"1,199,089","1,831,420"
May-13,"64,823","1,826,847",96.6%,"1,229,747","1,891,670"
Jun-13,"56,340","1,774,696",96.9%,"1,191,352","1,831,036"
Jul-13,"65,589","1,910,700",96.7%,"1,281,700","1,976,289"
Aug-13,"68,396","1,772,195",96.3%,"1,189,671","1,840,591"
Sep-13,"74,544","1,694,205",95.8%,"1,156,569","1,768,749"
Oct-13,"79,250","1,750,179",95.7%,"1,199,259","1,829,429"
Nov-13,"70,781","1,662,255",95.9%,"1,139,112","1,733,037"
Dec-13,"84,049","1,697,980",95.3%,"1,172,011","1,782,029"
Jan-14,"83,996","1,655,543",95.2%,"1,142,284","1,739,539"
Feb-14,"89,101","1,572,713",94.6%,"1,084,744","1,661,814"
Mar-14,"85,829","1,871,512",95.6%,"1,269,436","1,957,341"
Apr-14,"88,957","1,788,719",95.3%,"1,213,066","1,877,676"
May-14,"102,190","1,875,839",94.8%,"1,287,333","1,978,028"
Jun-14,"92,864","1,849,404",95.2%,"1,265,211","1,942,268"
Jul-14,"96,272","1,897,359",95.2%,"1,302,588","1,993,631"
Aug-14,"88,880","1,728,430",95.1%,"1,188,147","1,817,310"
Sep-14,"99,850","1,753,436",94.6%,"1,221,782","1,853,286"
Oct-14,"118,978","1,773,396",93.7%,"1,250,114","1,892,374"
Nov-14,"119,731","1,710,729",93.5%,"1,205,519","1,830,460"
Dec-14,"192,155","1,709,072",89.9%,"1,241,895","1,901,227"
Jan-15,"153,156","1,578,911",91.2%,"1,124,040","1,732,067"
Feb-15,"132,868","1,521,979",92.0%,"1,072,452","1,654,846"
Mar-15,"141,194","1,801,773",92.7%,"1,251,325","1,942,967"
Apr-15,"125,799","1,747,368",93.3%,"1,206,631","1,873,168"
May-15,"110,284","1,827,184",94.3%,"1,254,445","1,937,469"
Jun-15,"99,324","1,811,885",94.8%,"1,249,213","1,911,209"
Jul-15,"97,475","1,855,420",95.0%,"1,271,523","1,952,895"
Aug-15,"106,475","1,758,664",94.3%,"1,215,826","1,865,139"
Sep-15,"123,111","1,736,868",93.4%,"1,221,594","1,859,979"
Oct-15,"147,554","1,775,554",92.3%,"1,261,395","1,923,108"
Nov-15,"163,472","1,710,763",91.3%,"1,236,294","1,874,235"
Dec-15,"168,604","1,699,048",91.0%,"1,232,965","1,867,652"
